provincia,departamento,sector,ambito,grado,0anos,1ano,2anos,3anos,4anos,5anos,6anos,7anos,8anos,9anos,10anos,11anos,12anos,13anos,14anos,15anos,16anos,17anos,18anos,19anos,20anos,21anos,22anos,23anos,24anos,25anos,26anos,27anos,28anos,29anos,menosde18anos,11anosymenos,6anosymas,18anosymas,25anosymas,30anosymas,de20a24anos,de25a29anos
Buenos Aires,ADOLFO ALSINA,Estatal,Rural,Sala de 2, , ,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO ALSINA,Estatal,Rural,Sala de 3, , , ,41, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO ALSINA,Estatal,Rural,Sala de 4, , , , ,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO ALSINA,Estatal,Rural,Sala de 5, , , , , ,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO ALSINA,Estatal,Urbano,1°, , , , , , ,150, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO ALSINA,Estatal,Urbano,10°, , , , , , , , , , , , , , , ,161,24,3,1, , , , , , , , , , , , , , , , , ,1, 
Buenos Aires,ADOLFO ALSINA,Estatal,Urbano,11°, , , , , , , , , , , , , , , , ,131,20,8,5, , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO ALSINA,Estatal,Urbano,12°, , , , , , , , , , , , , , , , , ,111,14,2, , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO ALSINA,Estatal,Urbano,13°/14°, , , , , , , , , , , , , , , , , , ,38,4, , , , , , , , , , , , , , , , ,2, 
Buenos Aires,ADOLFO ALSINA,Estatal,Urbano,2°, , , , , , , ,161,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO ALSINA,Estatal,Urbano,3°, , , , , , , , ,151,6,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO ALSINA,Estatal,Urbano,4°, , , , , , , , , ,141,10,1, , , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO ALSINA,Estatal,Urbano,5°, , , , , , , , , , ,145,10,3, , , , , , , , , , , , , , , , , , , , , , , , , 
Buenos Aires,ADOLFO ALSINA,Estatal,Urbano,6°, , , , , , , , , , , ,137,12,1, , , , , , , , , , , , , , , , , , , , , , , , 
